schema_version,source,source_id,source_url,crawled_at,category,status,title,region,recruit_period_raw,recruit_start_date,recruit_end_date,is_evergreen,application_method,application_url,result_announcement_date_raw,result_confirmation,organization_name,manager_name,contact,view_count,tags_json,content_text,attachments_json,images_json,detail_accessible
1.0,jaripon,2072,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2072,2026-09-13T13:56:08+09:00,건강,모집종료,"인(仁)품 생활교육 ""단짠 단짠 갈비찜“",인천,2026-08-28 ~ 2026-09-06,2026-08-28,2026-09-06,False,,,,,인천광역시자립지원전담기관,,,149,"[""자립준비청년""]",,[],[],False
1.0,jaripon,2060,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2060,2026-09-13T13:56:09+09:00,건강,모집종료,건강 3 STEP 프로젝트_건강검진 패키지 지원사업,서울 외 (2),2026-08-21 ~ 2026-08-31,2026-08-21,2026-08-31,False,,,,,사단법인 야나,,,681,"[""자립준비청년,"", ""건강검진,"", ""전문의상담""]",,[],[],False
1.0,jaripon,2040,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2040,2026-09-13T13:56:19+09:00,건강,모집종료,자립준비청년 여성을 위한 '가다실9가' 접종지원사업,전국,2026-08-12 ~ 2026-08-23,2026-08-12,2026-08-23,False,,,,,사단법인 지속가능발전연구소 마침표,,,567,[],,[],[],False
1.0,jaripon,2029,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2029,2026-09-13T13:56:19+09:00,건강,모집종료,2026년 자립역량강화교육 체험클래스 - 클라이밍,충남,2026-08-07 ~ 2026-08-17,2026-08-07,2026-08-17,False,,,,,충남아동자립지원전담기관,,,171,"[""청년 대상""]",,[],[],False
1.0,jaripon,2007,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2007,2026-09-13T13:56:21+09:00,건강,모집종료,마중물런 60일 습관 챌린저 모집,전국,2026-07-29 ~ 2026-08-20,2026-07-29,2026-08-20,False,,,,,한사람재단,,,606,[],,[],[],False
1.0,jaripon,1957,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1957,2026-09-13T13:56:32+09:00,건강,모집종료,건강권보장 의식주지원사업 '자립愛:溫(ON)' 추가모집,전북,2026-07-02 ~ 2026-07-10,2026-07-02,2026-07-10,False,,,,,전북특별자치도자립지원전담기관,,,258,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,1956,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1956,2026-09-13T13:56:32+09:00,건강,모집종료,자립준비청년 여성을 위한 '가다실9가' 접종지원사업,전국,2026-07-02 ~ 2026-07-15,2026-07-02,2026-07-15,False,,,,,사단법인 지속가능발전연구소 마침표,,,642,[],,[],[],False
1.0,jaripon,1917,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1917,2026-09-13T13:56:38+09:00,건강,모집종료,[서울자립지원전담기관]마음 산책 - 댕댕 힐링 Time,서울,2026-06-22 ~ 2026-07-10,2026-06-22,2026-07-10,False,,,,,서울시자립지원전담기관,,,270,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,1904,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1904,2026-09-13T13:56:40+09:00,건강,모집종료,자립준비청년 HPV 예방접종 가다실9 지원사업,서울,2026-06-10 ~ 2026-06-24,2026-06-10,2026-06-24,False,,,,,사단법인 야나,,,1194,"[""여성자립준비청년,"", ""만 27세이상,"", ""가다실9무료접""]",,[],[],False
1.0,jaripon,2037,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2037,2026-09-13T13:56:19+09:00,건강,모집중,대한적십자사 위생용품 지원사업 언니의 선물,전국,2026-04-01 ~ 2026-11-20,2026-04-01,2026-11-20,False,,,,,대한적십자사,,,613,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,2053,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2053,2026-09-13T13:56:09+09:00,건강,모집중,(경상북도자립지원전담기관)종합심리검사 지원사업,경북,상시 모집,,,True,,,,,경상북도자립지원전담기관,,,92,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,1843,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1843,2026-09-13T13:56:52+09:00,건강,,쉬었음 청년 편지쓰기 프로그램 '청년 온기우체부',서울,상시 모집,,,True,,,,,사단법인 온기,,,220,"[""쉬었음 청년 대상""]",,[],[],False
