schema_version,source,source_id,source_url,crawled_at,category,status,title,region,recruit_period_raw,recruit_start_date,recruit_end_date,is_evergreen,application_method,application_url,result_announcement_date_raw,result_confirmation,organization_name,manager_name,contact,view_count,tags_json,content_text,attachments_json,images_json,detail_accessible
1.0,jaripon,2090,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2090,2026-09-13T13:56:00+09:00,경제,모집중,대전세종충남 청년 금융역량강화 ‘FIN-UP 프로젝트’,대전 외 (2),2026-09-01 ~ 2026-09-18,2026-09-01,2026-09-18,False,,,,,월드비전,,,125,"[""자립준비청년 우대""]",,[],[],False
1.0,jaripon,2025,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2025,2026-09-13T13:56:20+09:00,경제,모집종료,With 우리 Wealth 프로젝트2 1차 참여자 모집,전국,2026-08-06 ~ 2026-09-05,2026-08-06,2026-09-05,False,,,,,드림메이커스 사회적협동조합,,,1608,"[""자립준비청년"", ""니트청년"", ""은둔고립청년 대상""]",,[],[],False
1.0,jaripon,2020,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2020,2026-09-13T13:56:20+09:00,경제,모집종료,자립준비청년 소비관리 프로젝트: 고정비를 지켜라,서울 외 (2),2026-08-04 ~ 2026-08-07,2026-08-04,2026-08-07,False,,,,,행복나눔재단,,,463,"[""자립준비청년""]",,[],[],False
1.0,jaripon,2032,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2032,2026-09-13T13:56:19+09:00,경제,모집종료,'우리 새희망가게' 3차 모집,전국,2026-08-03 ~ 2026-08-27,2026-08-03,2026-08-27,False,,,,,드림메이커스 사회적협동조합,,,539,"[""청년사업자"", ""청년대상""]",,[],[],False
1.0,jaripon,1998,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1998,2026-09-13T13:56:27+09:00,경제,모집종료,하나금융그룹 자립준비청년 지원사업,부산 외 (10),2026-07-27 ~ 2026-08-23,2026-07-27,2026-08-23,False,,,,,세이브더칠드런코리아,,,1440,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,1982,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1982,2026-09-13T13:56:28+09:00,경제,모집종료,금융투자업권 ISA연계 자립준비청년 지원자 모집,전국,2026-07-16 ~ 2026-07-30,2026-07-16,2026-07-30,False,,,,,어린이재단 사회공헌협력본부,,,2489,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,1968,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1968,2026-09-13T13:56:21+09:00,경제,모집종료,2026년도 자립준비청년 대상 재무상담,전국,2026-07-14 ~ 2026-08-21,2026-07-14,2026-08-21,False,,,,,금융감독원,,,985,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,1966,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1966,2026-09-13T13:56:29+09:00,경제,모집종료,IM희망펀드 : 메타인지 투자 챌린지,전국,2026-07-03 ~ 2026-07-24,2026-07-03,2026-07-24,False,,,,,사회복지법인월드비전,,,1472,[],,[],[],False
1.0,jaripon,1962,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1962,2026-09-13T13:56:32+09:00,경제,모집종료,iM희망펀드:메타인지 투자 챌린지,전국,2026-07-03 ~ 2026-07-24,2026-07-03,2026-07-24,False,,,,,월드비전,,,912,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,1983,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1983,2026-09-13T13:56:28+09:00,경제,모집종료,“우리 새희망가게” 2차 참여자 모집 안내,전국,2026-07-01 ~ 2026-07-28,2026-07-01,2026-07-28,False,,,,,드림메이커스 사회적협동조합,,,480,"[""저신용"", ""저소득"", ""청년사업자""]",,[],[],False
1.0,jaripon,1953,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1953,2026-09-13T13:56:32+09:00,경제,모집종료,[서울특별시] 자립준비청년 월세·기숙사비 지원,서울,2026-07-01 ~ 2026-07-10,2026-07-01,2026-07-10,False,,,,,서울시자립지원전담기관,,,401,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,1952,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1952,2026-09-13T13:56:32+09:00,경제,모집종료,2026 미래드림 장학생,전국,2026-07-01 ~ 2026-07-20,2026-07-01,2026-07-20,False,,,,,하이랜드미래재단,,,1760,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,1924,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1924,2026-09-13T13:56:38+09:00,경제,모집종료,한화자산운용과 함께하는 자립청년 금융교육 3기,서울 외 (1),2026-06-22 ~ 2026-07-03,2026-06-22,2026-07-03,False,,,,,굿네이버스 방화2종합사회복지관,,,1029,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,1910,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1910,2026-09-13T13:56:40+09:00,경제,모집종료,[서울자립지원전담기관] 국제라이온스협회354-A 장학금,서울,2026-06-16 ~ 2026-06-26,2026-06-16,2026-06-26,False,,,,,서울시자립지원전담기관,,,463,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,1908,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1908,2026-09-13T13:56:40+09:00,경제,모집종료,[서울자립지원전담기관] 신한카드 아름人 '금융콘서트,서울,2026-06-10 ~ 2026-08-03,2026-06-10,2026-08-03,False,,,,,서울시자립지원전담기관,,,578,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,1898,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1898,2026-09-13T13:56:44+09:00,경제,모집종료,카카오뱅크 모두의자립,서울 외 (2),2026-06-08 ~ 2026-06-19,2026-06-08,2026-06-19,False,,,,,아이들과미래재단,,,1236,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,1895,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1895,2026-09-13T13:56:44+09:00,경제,모집종료,"자립준비청년을 위한 금융교육, 함께 시작해요!",서울,2026-06-04 ~ 2026-06-21,2026-06-04,2026-06-21,False,,,,,제2서울핀테크랩,,,407,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,1892,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1892,2026-09-13T13:56:44+09:00,경제,모집종료,기아대책 행복한나눔 취약계층 판로지원사업,전국,2026-06-02 ~ 2026-06-21,2026-06-02,2026-06-21,False,,,,,행복한나눔,,,737,[],,[],[],False
1.0,jaripon,1872,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1872,2026-09-13T13:56:47+09:00,경제,모집종료,두나무넥스트스테퍼즈Ⅱ 「긴급자금 대출지원」 참여자 모집,전국,2026-05-20 ~ 2026-06-22,2026-05-20,2026-06-22,False,,,,,(사)함께만드는세상(사회연대은행),,,1061,"[""자립준비청년 우대""]",,[],[],False
1.0,jaripon,2086,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2086,2026-09-13T13:56:03+09:00,경제,,청년사업가 지원사업,전국,상시 모집,,,True,,,,,드림메이커스 사회적협동조합,,,244,"[""청년사업자""]",,[],[],False
1.0,jaripon,1995,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1995,2026-09-13T13:56:27+09:00,경제,모집종료,자립준비청년 소비관리 프로젝트: 고정비를 지켜라,서울 외 (2),상시 모집,,,True,,,,,행복나눔재단,,,516,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,1891,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1891,2026-09-13T13:56:03+09:00,경제,,자립준비청년 우체국 『만원의행복보험』 무상가입 지원,전국,상시 모집,,,True,,,,,서울중앙우체국,,,1410,[],,[],[],False
1.0,jaripon,1831,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1831,2026-09-13T13:56:54+09:00,경제,,자립준비청년 우체국 『만원의행복보험』무상가입 지원,전국,상시 모집,,,True,,,,,서울중앙우체국,,,1129,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,1804,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1804,2026-09-13T13:57:01+09:00,경제,,금융경제 위기 가정의 맞춤형 금융 솔루션,전국,상시 모집,,,True,,,,,사단법인 함께하는 사랑밭,,,575,"[""청년 대상""]",,[],[],False
