schema_version,source,source_id,source_url,crawled_at,category,status,title,region,recruit_period_raw,recruit_start_date,recruit_end_date,is_evergreen,application_method,application_url,result_announcement_date_raw,result_confirmation,organization_name,manager_name,contact,view_count,tags_json,content_text,attachments_json,images_json,detail_accessible
1.0,jaripon,2101,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2101,2026-09-13T13:56:00+09:00,기타,모집중,STEP-UP 립클래스 제과기능사 자격 취득 과정 모집,경기,2026-09-09 ~ 2026-09-17,2026-09-09,2026-09-17,False,,,,,경기도자립지원전담기관,,,96,"[""자립준비청년"", ""보호(연장)아동"", ""제과기능사자격취득과정모집""]",,[],[],False
1.0,jaripon,2100,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2100,2026-09-13T13:56:00+09:00,기타,모집중,경기도자립지원전담기관 세계문화유산담방 '자립트립' 3차,경기,2026-09-08 ~ 2026-09-20,2026-09-08,2026-09-20,False,,,,,경기도자립지원전담기관,,,236,"[""자립준비청년"", ""세계문화유산탐방"", ""자립트림""]",,[],[],False
1.0,jaripon,2087,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2087,2026-09-13T13:56:03+09:00,기타,모집중,"청년의날 맞이, 국회 자립 대담[자립, 무공해]",전국,2026-09-07 ~ 2026-09-22,2026-09-07,2026-09-22,False,,,,,초록우산 옹호사업본부,,,292,"[""자립전환기청년 대상""]",,[],[],False
1.0,jaripon,2085,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2085,2026-09-13T13:56:03+09:00,기타,모집중,[온:청년]자립생활에 꼭! 필요한 안부박스를 지원합니다,전국,2026-09-04 ~ 2026-09-25,2026-09-04,2026-09-25,False,,,,,월드비전,,,519,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,2080,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2080,2026-09-13T13:56:03+09:00,기타,모집중,추석 명절모임 '한가위에 나타난 토끼를 찾아라!',서울 외 (1),2026-09-02 ~ 2026-09-14,2026-09-02,2026-09-14,False,,,,,한사람재단,,,412,[],,[],[],False
1.0,jaripon,2104,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2104,2026-09-13T13:56:00+09:00,기타,모집중,2026년「건강한 한 끼」영양지원 프로그램 참여자 모집,충남,2026-09-01 ~ 2026-09-30,2026-09-01,2026-09-30,False,,,,,충남아동자립지원전담기관,,,143,"[""자립준비청년대상""]",,[],[],False
1.0,jaripon,2093,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2093,2026-09-13T13:56:00+09:00,기타,모집종료,「마이리얼패밀리」 X 온결 커뮤니티 추석행사,전국,2026-09-01 ~ 2026-09-09,2026-09-01,2026-09-09,False,,,,,온결,,,225,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,2081,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2081,2026-09-13T13:56:03+09:00,기타,모집중,추석 때 뭐해? 공연 보고 삼겹살 먹고!,전국,2026-09-01 ~ 2026-09-21,2026-09-01,2026-09-21,False,,,,,한국고아사랑협회,,,155,"[""자립준비청년"", ""보호대상아동"", ""청소년보호시설""]",,[],[],False
1.0,jaripon,2077,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2077,2026-09-13T13:56:08+09:00,기타,모집종료,"서울숲 전시, 함께할 청년 작가를 찾습니다",전국,2026-08-31 ~ 2026-09-11,2026-08-31,2026-09-11,False,,,,,한국고아사랑협회,,,284,"[""자립준비청년"", ""보호대상아동"", ""청소년보호시설""]",,[],[],False
1.0,jaripon,2071,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2071,2026-09-13T13:56:08+09:00,기타,모집중,[서울자립지원전담기관] 9월 문화힐링 프로그램,서울,2026-08-28 ~ 2026-09-17,2026-08-28,2026-09-17,False,,,,,서울자립지원전담기관,,,184,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,2070,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2070,2026-09-13T13:56:08+09:00,기타,모집종료,기아대책 마이리얼멘토단과 함께하는 '마이리얼패밀리',전국,2026-08-26 ~ 2026-09-11,2026-08-26,2026-09-11,False,,,,,희망친구 기아대책,,,669,"[""자립준비청년""]",,[],[],False
1.0,jaripon,2067,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2067,2026-09-13T13:56:08+09:00,기타,모집중,LBTO 추석명절 행사 초대,전국,2026-08-26 ~ 2026-09-14,2026-08-26,2026-09-14,False,,,,,사단법인 자립준비청년후원회,,,640,[],,[],[],False
1.0,jaripon,2065,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2065,2026-09-13T13:56:09+09:00,기타,모집종료,2026년 9월 자립역량강화교육 체험클래스,충남,2026-08-25 ~ 2026-09-01,2026-08-25,2026-09-01,False,,,,,충남아동자립지원전담기관,,,147,"[""청년 대상""]",,[],[],False
1.0,jaripon,2063,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2063,2026-09-13T13:56:09+09:00,기타,모집중,'JB희망의 학습멘토링 4기' 멘토 추가모집 안내,전북,2026-08-24 ~ 2026-12-31,2026-08-24,2026-12-31,False,,,,,전북특별자치도자립지원전담기관,,,184,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,2088,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2088,2026-09-13T13:56:03+09:00,기타,모집종료,자립준비청년 대상 프로그램 「우리의 온기(도예)」,서울 외 (2),2026-08-21 ~ 2026-09-09,2026-08-21,2026-09-09,False,,,,,강서구가족센터,,,58,"[""자립준비청년""]",,[],[],False
