schema_version,source,source_id,source_url,crawled_at,category,status,title,region,recruit_period_raw,recruit_start_date,recruit_end_date,is_evergreen,application_method,application_url,result_announcement_date_raw,result_confirmation,organization_name,manager_name,contact,view_count,tags_json,content_text,attachments_json,images_json,detail_accessible
1.0,jaripon,2038,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2038,2026-09-13T13:56:19+09:00,주거,모집종료,「주거 빌드업(Build-up)」 클래스 참여자 모집,경기,2026-08-13 ~ 2026-08-17,2026-08-13,2026-08-17,False,,,,,경기도자립지원전담기관,,,325,"[""경기도자립준비청년"", ""「주거 빌드업(Build-up)」 클래스 참여자 모집""]",,[],[],False
1.0,jaripon,1975,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1975,2026-09-13T13:56:29+09:00,주거,모집종료,2026 LH전세 문제해결,인천,2026-07-13 ~ 2026-07-19,2026-07-13,2026-07-19,False,,,,,인천광역시자립지원전담기관,,,234,"[""자립준비청년,"", ""보호연장아동,"", ""보호연장종료""]",,[],[],False
1.0,jaripon,1944,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1944,2026-09-13T13:56:35+09:00,주거,모집종료,신격호 롯데장학관 2026년 2학기 입주생 모집,서울,2026-06-29 ~ 2026-07-17,2026-06-29,2026-07-17,False,,,,,롯데장학재단 신격호 롯데장학관,,,881,[],,[],[],False
1.0,jaripon,1936,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1936,2026-09-13T13:56:37+09:00,주거,모집종료,26년 「자립준비청년 첫 집 길라잡이」 교육 신청 안내,전국,2026-06-29 ~ 2026-07-12,2026-06-29,2026-07-12,False,,,,,LH주거복지정보㈜,,,746,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,1937,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1937,2026-09-13T13:56:37+09:00,주거,모집종료,자립준비청년 생활교육 [자립 빌드업 : 룸 스타일링편],인천,2026-06-24 ~ 2026-06-28,2026-06-24,2026-06-28,False,,,,,인천광역시자립지원전담기관,,,236,"[""자립준비청년""]",,[],[],False
1.0,jaripon,1906,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1906,2026-09-13T13:56:40+09:00,주거,모집종료,2026 LH전세 문제해결,인천,2026-06-10 ~ 2026-06-21,2026-06-10,2026-06-21,False,,,,,인천광역시자립지원전담기관,,,279,"[""자립준비청년,"", ""보호연장,""]",,[],[],False
1.0,jaripon,1890,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1890,2026-09-13T13:56:44+09:00,주거,모집종료,자기경영 프로젝트 '마이리얼라이프',전국,2026-06-08 ~ 2026-06-19,2026-06-08,2026-06-19,False,,,,,희망친구 기아대책,,,755,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,1822,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1822,2026-09-13T13:56:56+09:00,주거,모집중,아동복지시설 자립체험 프로그램 사업 신청 안내,전북,2026-04-30 ~ 2026-09-30,2026-04-30,2026-09-30,False,,,,,전북특별자치도자립지원전담기관,,,353,"[""보호아동 및 보호연장아동 대상""]",,[],[],False
1.0,jaripon,2091,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2091,2026-09-13T13:56:00+09:00,주거,,2026 WOORI Chance 자립키트 4차,전국,상시 모집,,,True,,,,,사회복지법인 굿네이버스,,,829,[],,[],[],False
1.0,jaripon,2076,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2076,2026-09-13T13:56:08+09:00,주거,모집중,자립준비청년 매트리스 지원사업,서울 외 (1),상시 모집,,,True,,,,,사단법인 야나,,,701,"[""자립준비청년,"", ""주거,"", ""매트리스""]",,[],[],False
1.0,jaripon,2050,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2050,2026-09-13T13:56:11+09:00,주거,모집중,(경상북도자립지원전담기관)자립 생활관 입주자 모집,전국,상시 모집,,,True,,,,,경상북도자립지원전담기관,,,121,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,1913,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1913,2026-09-13T13:56:40+09:00,주거,,희망디딤돌 충북센터 입주자 모집 안내,충북,상시 모집,,,True,,,,,희망디딤돌 충북센터,,,227,"[""자립준비청년 대상""]",,[],[],False
