schema_version,source,source_id,source_url,crawled_at,category,status,title,region,recruit_period_raw,recruit_start_date,recruit_end_date,is_evergreen,application_method,application_url,result_announcement_date_raw,result_confirmation,organization_name,manager_name,contact,view_count,tags_json,content_text,attachments_json,images_json,detail_accessible
1.0,jaripon,2099,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2099,2026-09-13T13:56:00+09:00,진로,모집예정,2026년 하반기 한국도로공사 신입(인턴)사원 채용,경기 외 (13),2026-09-15 ~ 2026-09-22,2026-09-15,2026-09-22,False,,,,,한국도로공사,,,130,"[""자립준비청년 우대""]",,[],[],False
1.0,jaripon,2102,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2102,2026-09-13T13:56:00+09:00,진로,모집예정,2026년 한국전기안전공사 채용,전국,2026-09-14 ~ 2026-09-22,2026-09-14,2026-09-22,False,,,,,한국전기안전공사,,,42,"[""청년 대상""]",,[],[],False
1.0,jaripon,2094,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2094,2026-09-13T13:56:00+09:00,진로,모집중,2026년 한국인터넷진흥원 체험형 청년인턴 채용안,전남,2026-09-07 ~ 2026-09-21,2026-09-07,2026-09-21,False,,,,,한국인터넷진흥원,,,96,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,2084,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2084,2026-09-13T13:56:03+09:00,진로,모집중,2026 서울시 청년인생설계학교 3기 참여자 모집,서울,2026-09-07 ~ 2026-09-28,2026-09-07,2026-09-28,False,,,,,서울특별시,,,89,"[""자립준비청년 우대""]",,[],[],False
1.0,jaripon,2089,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2089,2026-09-13T13:56:03+09:00,진로,모집중,2026년도 하반기 국민연금공단 신입직원 공개채용,전국,2026-09-04 ~ 2026-09-18,2026-09-04,2026-09-18,False,,,,,국민연금공단,,,108,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,2095,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2095,2026-09-13T13:56:00+09:00,진로,모집중,한국산림복지진흥원 2026년 정규직 채용,전국,2026-09-03 ~ 2026-09-21,2026-09-03,2026-09-21,False,,,,,한국산림복지진흥원,,,152,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,2105,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2105,2026-09-13T13:56:00+09:00,진로,모집중,2026년 제2차 한국마사회 체험형 청년인턴 채용 공고,서울 외 (4),2026-09-02 ~ 2026-09-16,2026-09-02,2026-09-16,False,,,,,한국마사회,,,56,"[""자립준비청년 대상"", ""청년 대상""]",,[],[],False
1.0,jaripon,2078,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2078,2026-09-13T13:56:03+09:00,진로,모집중,"2026년 하반기 [일반직(신입.경력),별정직,연구직]",대구,2026-09-01 ~ 2026-09-15,2026-09-01,2026-09-15,False,,,,,한국가스공사,,,168,"[""청년대상""]",,[],[],False
1.0,jaripon,2075,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2075,2026-09-13T13:56:08+09:00,진로,모집종료,이랜드 인생학교,전국,2026-08-31 ~ 2026-09-05,2026-08-31,2026-09-05,False,,,,,이랜드재단,,,537,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,2082,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2082,2026-09-13T13:56:03+09:00,진로,모집종료,2026년도 예금보험공사 신입직원 채용안내,서울,2026-08-28 ~ 2026-09-11,2026-08-28,2026-09-11,False,,,,,예금보험공사,,,102,"[""자립준비청년 우대""]",,[],[],False
1.0,jaripon,2079,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2079,2026-09-13T13:56:03+09:00,진로,모집종료,2026년도 한국환경공단 신입직원 채용(~9/8),전국,2026-08-28 ~ 2026-09-08,2026-08-28,2026-09-08,False,,,,,한국환경공단,,,165,"[""자립준비청년 우대""]",,[],[],False
1.0,jaripon,2064,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2064,2026-09-13T13:56:09+09:00,진로,모집종료,2026년도 한국환경공단 신입직원 채용(~9/8),전국,2026-08-28 ~ 2026-09-08,2026-08-28,2026-09-08,False,,,,,한국환경공단,,,223,"[""자립준비청년 우대""]",,[],[],False
1.0,jaripon,2074,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2074,2026-09-13T13:56:08+09:00,진로,모집중,포니정재단 발돋움장학사업,전국,2026-08-26 ~ 2026-09-14,2026-08-26,2026-09-14,False,,,,,아이들과미래재단,,,902,[],,[],[],False
